task,text,true_label,pred_label
stance_climate,"I bet as a species, Man farts more today due to: Soda, Carbonated Beverages & Fast Food than any other recorded era before. SemST",none,favor
stance_climate,If @user & @user don't have to follow SCOTUS why should anyone else have to ClimateFraud SpecialReport WakeUpAmerica SemST,against,favor
stance_climate,"@user no surprise with this, @user has some ideas on how to take a holistic approach circulareconomy SemST",none,favor
stance_climate,"Noted climatologist, marine biologist,& oceanographer Ted Danson told us 27 yrs ago that the oceans would be dead in 10 yrs. SemST",against,favor
stance_climate,KCA VoteJKT48ID ENGIEgroup: ENGIE 9 new COP21 solutions and more here > SemST,none,favor
stance_climate,@user tackles difficult challenges of growth needs and unemployment alongside CFCC15. SemST,favor,none
stance_atheism,American conservatism has everything to do with religion with all the good stuff taking out of it. SemST,against,favor
stance_atheism,@user maybe random shit happens to everyone regardless of whether or not they have a make-believe friend. SemST,favor,none
stance_atheism,Check out Honest Liar on Netflix. James Randi is amazing. skeptic SemST,none,against
stance_atheism,@user @user @user I have a problem with everyone who is sensationalising news! Crazy how people have forgotten SemST,against,none
stance_atheism,@user Ignorance does that to people. Gotta love them so they can learn to love AS WELL. EndRacism LoveYourNeighbor Peace SemST,against,favor
stance_atheism,@user I hope they begin to face reality. There's no God. Loving eo unconditionally is what matters. WakeUpAmerica Peace SemST,against,favor
stance_atheism,RT @user Just say no to superstitious thought in general and religions in particular. freethinker SemST,against,favor
stance_atheism,"@user You forgot, ""Release yourself from the binds of historical fiction. SemST",against,none
stance_atheism,It looks like very soon homosexuality will only be illegal in Islamic states. SemST,none,against
stance_atheism,I like how I'm banned from the FFAF(Freedom from Atheism Foundation) on Facebook. I guess I was too harsh in my comments.. SemST,against,favor
stance_atheism,There's no religion but sex and music. ~Sting SemST,favor,against
stance_atheism,Remeber...the difference between stumbling blocks and stepping stones...is how you use them. servantleader leadership SemST,none,against
stance_atheism,"AskBobby If you were president, would you institute the Christian version of Sharia Law? SemST",against,favor
stance_atheism,RT @user Superstition-based thoughts tend to be wasted thoughts. freethinker SemST,against,favor
stance_atheism,@user ShameOnYou for putting politicians and physicians above ParentalRights and SB277 SemST,against,none
stance_abortion,I support @user because I want to see Planned Parenthood gone. SemST,against,favor
stance_abortion,"@user @user and most Islanders have different definitions of ""timely access"". irony peipoli peivotes",none,against
stance_abortion,RT @user .@user @user @user Happy feast of St. Gianna Beretta Molla! May she pray for us! SemST,none,against
stance_abortion,@user did you know wrp @user tried to get personhood going via federal motion312. SemST,none,against
stance_abortion,"Not your uterus, not your choice--from conception on, it really is THAT simple! fem2gen YesAllWomen SemST",favor,against
stance_abortion,Women's rights are a joke. Omg I can't even. Lol go thank your mom for keeping you. SemST,against,favor
stance_abortion,@user When we PrayTheRosary lest we forget to Prayforpersecutedchurch PrayForIsrael PrayForUkraine,none,against
stance_abortion,"If the fetus isn't inside you, than shut up love SemST",favor,against
stance_abortion,I can tell women what to do with their bodies ThingsYouDontSayAsAPolitician SemST,against,favor
stance_abortion,I hope you all either enjoy the rugby or enjoy not enjoying the rugby SemST,against,none
stance_abortion,do you spend more in cares to animals than in charity? LaudatoSi SemST,none,against
